ROUGE-1,ROUGE-2,ROUGE-L,Content_Overlap
0.16216216,0.043478259,0.16216216,0.126621508
0.117647056,0,0.117647056,0.111593981
0.166666664,0.037037036,0.166666664,0.081711684
0.055555553,0,0.055555553,0.059981266
0.206896549,0.060606058,0.206896549,0.1645521
